series_id,series_title,series_type,series_episodes,my_watched_episodes,my_score,my_status
11755,009 Re:Cyborg,Movie,1,1,7,Completed
41457,86,TV,11,0,0,Plan to Watch
49235,86 Special Edition: Senya ni Akaku Hinageshi no Saku,Special,1,0,0,Plan to Watch
22199,Akame ga Kill!,TV,24,0,0,Plan to Watch
47,Akira,Movie,1,1,10,Completed
41433,Akudama Drive,TV,12,5,4,Dropped
6452,Akuu Daisakusen Srungle,TV,53,53,9,Completed
6547,Angel Beats!,TV,13,0,0,Plan to Watch
24833,Ansatsu Kyoushitsu,TV,22,22,10,Completed
30654,Ansatsu Kyoushitsu 2nd Season,TV,25,25,10,Completed
40128,Arte,TV,12,12,5,Completed
32827,B: The Beginning,ONA,12,12,5,Completed
37525,Babylon,TV,12,8,8,On-Hold
2251,Baccano!,TV,13,0,0,Plan to Watch
28805,Bakemono no Ko,Movie,1,1,8,Completed
7674,Bakuman.,TV,25,0,0,Plan to Watch
36649,Banana Fish,TV,24,0,0,Plan to Watch
39195,Beastars,TV,12,12,6,Completed
40935,Beastars 2nd Season,TV,12,0,0,Plan to Watch
889,Black Lagoon,TV,12,0,0,Plan to Watch
1519,Black Lagoon: The Second Barrage,TV,12,0,0,Plan to Watch
36308,Blade Runner: Black Out 2022,ONA,1,1,8,Completed
31043,Boku dake ga Inai Machi,TV,12,0,0,Plan to Watch
31964,Boku no Hero Academia,TV,13,13,8,Completed
33486,Boku no Hero Academia 2nd Season,TV,25,25,8,Completed
36456,Boku no Hero Academia 3rd Season,TV,25,25,8,Completed
38408,Boku no Hero Academia 4th Season,TV,25,25,8,Completed
41587,Boku no Hero Academia 5th Season,TV,25,0,0,Watching
40904,Bokutachi no Remake,TV,12,0,0,Plan to Watch
41468,Burn the Witch,Movie,3,3,4,Completed
1689,Byousoku 5 Centimeter,Movie,3,3,9,Completed
37435,Carole & Tuesday,TV,24,24,10,Completed
1575,Code Geass: Hangyaku no Lelouch,TV,25,25,9,Completed
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,25,8,Completed
10029,Coquelicot-zaka kara,Movie,1,1,8,Completed
1,Cowboy Bebop,TV,26,26,10,Completed
38656,Darwin's Game,TV,11,11,7,Completed
1535,Death Note,TV,37,37,10,Completed
28223,Death Parade,TV,12,12,7,Completed
40056,Deca-Dence,TV,12,12,7,Completed
35120,Devilman: Crybaby,ONA,10,10,10,Completed
38691,Dr. Stone,TV,24,18,7,On-Hold
223,Dragon Ball,TV,153,153,9,Completed
225,Dragon Ball GT,TV,64,64,7,Completed
813,Dragon Ball Z,TV,291,291,8,Completed
39792,Eizouken ni wa Te wo Dasu na!,TV,12,12,8,Completed
38671,Enen no Shouboutai,TV,24,19,4,Dropped
356,Fate/stay night,TV,24,0,0,Plan to Watch
22297,Fate/stay night: Unlimited Blade Works,TV,12,0,0,Plan to Watch
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,0,0,Plan to Watch
